Business situation,Confidence indicator,Construction,Hours,Orders,Interest rate spread,Share prices,CLI,Gross Domestic Product (GDP)
15,100.815924,100.1282558,41,99.94788859,1.87,17.25948029,100.9451292,100.0095439
18.6,101.5690846,100.051355,40.9,99.96081958,2.03,18.23986427,100.9053253,100.0940515
20.2,100.7083296,99.97901068,40.8,99.99228861,2.2,17.67034265,100.7892503,100.1961827
21.4,96.08177172,99.91233601,41.1,100.0524499,2.23,15.56062479,100.6238654,100.3002441
17.6,89.41092083,99.85607092,41,100.1319893,2.17,13.58801429,100.4566326,100.3880015
22,93.39191249,99.81409747,41,100.2252123,2.22,13.35749665,100.3402706,100.4483559
15,97.69568726,99.79420564,41.1,100.3220562,1.84,13.91833919,100.281266,100.488237
12.4,98.55644221,99.80049035,41.1,100.4108636,1.63,14.37272735,100.2715288,100.5214228
9.2,101.7842733,99.82998937,40.9,100.4912686,1.79,14.84251237,100.3005559,100.5589399
11.6,98.12606474,99.87664293,41,100.5790932,1.85,14.70187216,100.3550577,100.6000994
11,101.999462,99.93555092,41,100.6892844,2,14.35852844,100.4233535,100.6398143
18.6,101.8918677,100.004636,41.1,100.8165838,1.41,15.12443681,100.4862693,100.6757496
16.4,100.4931409,100.0798126,41.1,100.9484853,1.31,15.06436838,100.5244153,100.715675
12,104.7969156,100.1565162,40.9,101.0912922,1.25,14.7806537,100.5416194,100.7705614
9.2,104.6893213,100.2298157,41,101.2485581,0.79,15.00060777,100.5460707,100.8475573
11,101.2463014,100.2945679,41.1,101.421967,0.5,15.48469156,100.5453514,100.9420427
11.2,100.0627634,100.3454783,41.1,101.5942909,0.61,15.11941439,100.5399796,101.0436912
12,98.87922532,100.3787005,40.9,101.7297326,0.35,15.38438896,100.5231176,101.1413872
9.4,105.3348875,100.3929418,41.1,101.7425288,-0.03,15.88491631,100.4746641,101.227765
8.2,102.6450282,100.3897395,41.2,101.6354716,-0.19,16.34780231,100.3779979,101.2979869
3,101.4614902,100.3754916,41.1,101.4485458,-0.49,16.30055642,100.2396541,101.3494733
4.4,98.44884784,100.3563124,41.1,101.2121619,-0.66,16.77250107,100.083841,101.3829323
-1.4,97.58809289,100.3370925,41,100.9682137,-0.95,17.35978309,99.93443985,101.3998287
-5.4,97.48049852,100.3197306,40.9,100.766313,-1.25,17.90098652,99.8189289,101.4013056
-8.2,98.98681969,100.302547,40.9,100.6136968,-1.22,18.33109102,99.74821665,101.3884572
-9.8,96.40455483,100.2831465,40.9,100.5271234,-0.88,19.10660671,99.72067469,101.3635229
-8,103.0754057,100.2603993,40.8,100.5121721,-0.83,19.11224978,99.72301001,101.3322647
-6.4,101.0311127,100.230884,40.8,100.5494074,-0.83,19.06243597,99.73584274,101.3073562
-6.4,97.80328163,100.187813,40.7,100.6309318,-0.68,18.66268275,99.75695594,101.3012067
-5.2,97.37290415,100.1261481,40.5,100.6995391,-0.61,19.07521297,99.78394299,101.3185301
-5.6,100.0627634,100.0408934,40.5,100.7378101,-0.02,18.56648324,99.81453878,101.3477243
-1.8,96.29696046,99.92471867,40.6,100.795251,0.23,18.07759499,99.84168866,101.3692783
-0.2,98.23365911,99.77821269,40.7,100.8594342,0.31,18.44583409,99.84085378,101.3634184
0,101.0311127,99.60789302,40.5,100.8890762,0.53,18.38140845,99.77293036,101.3184109
-1,97.48049852,99.42094032,40.6,100.8858655,0.58,18.949234,99.61850074,101.226002
-1.6,95.00582803,99.22466446,40.7,100.8326428,0.19,19.47705598,99.35989829,101.0797761
-6.8,94.89823366,99.02581021,40.6,100.7276417,0.32,19.47468779,99.00229827,100.8770098
-7.8,82.20209809,98.83073977,40.5,100.5551222,0.62,17.96866139,98.57391449,100.618342
-11,78.3287008,98.64621332,40.5,100.3232305,0.69,17.1543156,98.14065449,100.3115534
-13.6,68.75280194,98.47817098,40.4,100.0306344,0.61,16.64209009,97.76498786,99.97931331
-17.4,71.01228369,98.33327001,40.2,99.69339128,0.58,17.05451415,97.50615558,99.65030305
-18.4,70.47431184,98.21576052,40.3,99.38690458,0.77,17.782713,97.40472608,99.3524444
-21.6,71.87303864,98.13333345,40.2,99.12335221,1.18,17.62213018,97.46022747,99.10619652
-21.2,75.74643594,98.09193812,40.1,98.93246818,1.6,19.58308318,97.65703154,98.92498002
-18.6,94.36026181,98.08875812,40,98.83559035,1.99,20.15920818,97.94787944,98.81194344
-14.4,88.01219403,98.12084887,40.1,98.8657353,2.13,20.56991539,98.27768541,98.75204436
-11,84.24639111,98.18290169,40.1,98.99891073,2.29,20.4927119,98.60790238,98.72431385
0.6,88.33497714,98.26972467,40.5,99.18101737,2.38,20.5305597,98.90909928,98.71013304
1.2,89.19573209,98.37557339,40.5,99.36306463,2.45,20.62734439,99.13902917,98.69913751
5.8,88.22738277,98.49580416,40.6,99.43698914,2.24,21.12645735,99.26296939,98.68869287
9.8,89.30332646,98.6268304,40.6,99.40972052,2.2,21.04894394,99.28689113,98.68307519
6.2,84.24639111,98.76534726,40.6,99.3158314,2.32,21.1034106,99.24018703,98.69252619
-1,74.34770914,98.90643253,40.7,99.17716438,2.61,21.11836279,99.17196326,98.72877004
-6.4,73.37935981,99.04500979,40.7,99.0211404,2.66,21.21872649,99.13975171,98.79936113
-5.4,72.62619923,99.17651313,40.6,98.91140619,3,22.71158724,99.18369428,98.89997601
5.4,74.02492603,99.29525984,40.7,98.8592482,3.28,22.59063366,99.29631376,99.02118059
9.2,81.77172061,99.39732112,40.7,98.88944944,3.56,22.30277704,99.44891035,99.15285038
5.2,83.06285304,99.48079461,40.9,98.95781607,3.75,22.23713009,99.58757581,99.28694509
11.4,85.21474043,99.54943193,40.9,98.99738779,3.57,22.63904492,99.67580646,99.41736283
7.2,86.50587286,99.60468169,40.8,98.98776102,3.5,22.24978398,99.70274992,99.53943631
7.8,82.41728683,99.65022732,40.8,98.95085571,3.59,22.59568197,99.69362725,99.6495
6.8,81.87931498,99.68849346,40.8,98.91300316,3.29,22.78406691,99.68529638,99.74313977
-0.6,81.34134314,99.71997202,40.7,98.9002213,3.2,22.78986474,99.71643923,99.81410852
0.6,78.86667264,99.7468932,40.8,98.91113703,3.49,22.47701807,99.80860969,99.85423177
7.2,91.77799695,99.77094916,40.9,98.91684837,3.78,23.05812892,99.94162159,99.85606999
8.4,97.910876,99.79546364,40.9,98.93162602,3.85,23.71525806,100.0607914,99.81759541
11.6,96.08177172,99.8241421,41.1,98.95055816,3.58,23.73477072,100.118907,99.74937312
10.4,93.17672375,99.86094394,41.1,98.98568749,3.23,24.10518691,100.1037702,99.66673173
7,92.42356317,99.90981267,40.8,99.00832583,2.91,24.57130319,100.0212574,99.58393542
0.4,92.10078006,99.97492092,41.5,99.02299195,3.01,24.234958,99.89974044,99.50929471
2.4,86.39827849,100.0539572,41.1,99.02360105,3.04,24.36321176,99.75826035,99.44862269
-0.8,87.68941092,100.1446487,40.9,99.02045426,2.92,24.47690969,99.63909376,99.40792459
0.4,82.84766431,100.2448198,41.1,99.01116793,2.75,24.54491934,99.57367206,99.39490866
1.4,83.17044741,100.3519837,41.1,99.01571512,2.65,24.94887904,99.58523852,99.41683516
1.6,83.81601363,100.4618815,41.3,99.04773195,2.27,25.23904096,99.67917412,99.47621537
6.8,88.98054335,100.5694756,41.3,99.12202571,2.34,25.50330195,99.84646059,99.56380023
7.6,87.36662781,100.6696009,41.3,99.22188513,2.7,25.34481582,100.0591179,99.66661399
11.2,94.89823366,100.7586743,41.4,99.35223174,2.81,25.52289236,100.2946103,99.77371393
12,101.4614902,100.8329633,41.4,99.49528579,2.7,25.95653232,100.5151194,99.88063979
13,100.2779521,100.8934343,40.9,99.62851969,2.72,25.94261656,100.6950424,99.98576093
13.8,98.44884784,100.9364419,41.7,99.76049167,3.14,25.48287049,100.8301352,100.0864068
14.8,99.63238591,100.956306,41.7,99.90017914,3.41,24.55667463,100.9162278,100.1748973
16.4,99.84757464,100.951781,41.8,100.0380788,3.17,24.71439906,100.9550898,100.2427349
17.6,98.12606474,100.9229043,41.8,100.1596461,2.85,24.87754191,100.9520862,100.2854418
17,95.75898861,100.8727955,41.8,100.2567585,3.04,24.68768775,100.9204403,100.308636
16,98.66403658,100.8032004,41.7,100.3370558,2.77,25.36023633,100.8738555,100.3202293
18,98.44884784,100.7161545,41.6,100.4088002,2.73,25.51084805,100.813478,100.3238386
18.8,99.73998027,100.6137796,41.8,100.4762244,2.98,25.27445682,100.7325967,100.3128701
18.4,98.55644221,100.4993544,41.8,100.5220536,2.67,25.00329194,100.6105413,100.2765899
12.2,102.3222451,100.3772461,41.8,100.5366509,2.36,24.62429174,100.4372893,100.2070272
14.8,105.0121044,100.2545729,41.8,100.5118591,2.25,25.1106233,100.2079221,100.1074473
10.2,102.3222451,100.1398053,41.7,100.4567877,1.55,25.93256565,99.92425056,99.9870212
4.2,97.15771541,100.0414889,41.5,100.3709025,1.22,26.42236397,99.61429674,99.85750818
3,99.52479154,99.96636259,41,100.27388,1.01,27.17154929,99.32575088,99.73132091
-6.6,96.61974357,99.9162573,41.1,100.1795411,0.62,27.90741781,99.09781704,99.61901723
-8.2,99.73998027,99.889859,41.2,100.1083891,0.17,28.67153433,98.94588837,99.52646198
1.4,101.5690846,99.88380382,41.1,100.0865381,0.43,29.52860835,98.85791839,99.45088802
-5.8,103.5057832,99.89148873,41.2,100.1156018,0.75,29.71381419,98.8028603,99.38663868
